Odds,Stakes,Rerolls,Killshot,Panic,Decision
0, 0,3,True, True, True
0, 3,2,False, True, True
0, 1,1,False, True, False
0, 1,3,False, True, True
0, 1,2,False, True, True
0,0,3,True,True,True
0,1,2,False,True,True
0,3,1,False,True,True
0,0,3,True,True,True
0,10,2,False,True,True
0,2,1,False,True,True
0,1,0,False,True,False
0,1,3,False,True,True
0,1,2,False,True,True
0,517746913580247,1,1,False,True,True
0,333333333333333,2,0,False,True,False
0,2,3,False,True,True
0,1,2,False,True,False
0,1,3,False,True,True
